price,bedrooms,bathrooms,sqm,floor,type,orientation,condition,hot_water,elevator,province
650000,5,3,203,,Casa adosada,Sur,Bien,Gas Natural,,barcelona
570000,2,1,93,4,Piso,,,,Sí,barcelona
375000,2,1,64,,Dúplex,,,,,barcelona
790000,8,4,328,,Finca rústica,Sur,Casi nuevo,Gas Natural,,barcelona
1340000,4,3,196,,Casa adosada,,,,,barcelona
245000,3,1,71,2,Piso,,,,,barcelona
325000,3,2,104,7,Piso,Este,Bien,Gas Natural,Sí,barcelona
138000,3,1,55,5,Piso,,,,,barcelona
720000,3,3,171,,Piso,,,,Sí,barcelona
1226000,6,5,396,,Casa o chalet,,,,,barcelona
600000,3,2,113,2,Piso,,,,Sí,barcelona
420000,3,2,101,6,Piso,,Muy bien,Gas Natural,Sí,barcelona
131000,3,1,80,,Piso,Suroeste,Casi nuevo,,,barcelona
339900,3,3,219,,Casa adosada,Sur,Bien,,,barcelona
895000,6,3,341,,Casa o chalet,,,,,barcelona
695000,4,2,141,6,Piso,,,,Sí,barcelona
225000,4,2,81,7,Piso,,,,Sí,barcelona
325000,4,2,125,2,Piso,,,,,barcelona
420000,2,1,85,3,Piso,Suroeste,Muy bien,Gas Natural,Sí,barcelona
360000,3,1,104,4,Piso,Sur,Casi nuevo,,Sí,barcelona
895000,7,4,352,,Finca rústica,,,,,barcelona
500000,3,3,97,,Piso,,Casi nuevo,Gas Natural,Sí,barcelona
549000,3,2,195,,Casa o chalet,,,,,barcelona
189000,3,1,80,1,Piso,,,,,barcelona
720000,3,3,151,4,Piso,Noreste,Casi nuevo,Gas Natural,Sí,barcelona
1195000,3,3,116,3,Piso,Sur,Bien,Gas Natural,Sí,barcelona
215000,3,,89,,Piso,,Casi nuevo,,Sí,barcelona
